meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,cost_per_serving_in_inr,region,meal_time_categories
Rasabali,"Chenna, sweetened milk",250,30,6,13,Vegetarian,Dessert,1 piece,70,Other,['dessert']
Ras Malai,"Chhena, reduced milk, pistachio",260,31,7,13,Vegetarian,Dessert,1 piece,80,Other,['dessert']
Rasgulla,"Chhena, sugar, cardamom",150,20,4,6,Vegetarian,Dessert,2 pieces,50,Other,['dessert']
Sandesh,"Milk, sugar, saffron, cardamom",180,22,5,8,Vegetarian,Dessert,2 pieces,55,Other,['dessert']
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",240,28,3,13,Vegetarian,Dessert,1 piece,60,South Indian,['dessert']
Ariselu,"Rice flour, jaggery, ghee",230,27,3,12,Vegetarian,Dessert,1 piece,55,South Indian,['dessert']
Bandar Laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins",260,30,5,14,Vegetarian,Dessert,1 piece,70,South Indian,['dessert']
Chikki,"Peanuts, jaggery",200,25,6,8,Vegetarian,Snack,1 piece,30,Other,['snacks']
Dharwad Pedha,"Milk, Sugar",190,23,4,9,Vegetarian,Dessert,1 piece,45,South Indian,['dessert']
Double ka Meetha,"Bread, milk, sugar, ghee, cardamom",350,45,5,18,Vegetarian,Dessert,1 piece,45,South Indian,['dessert']
Gavvalu,"Rice flour, jaggery, ghee",220,30,3,10,Vegetarian,Snack,1/2 cup,30,South Indian,['snacks']
Kakinada Khaja,"Wheat flour, sugar, ghee",280,40,4,12,Vegetarian,Snack,1 piece,35,South Indian,['snacks']
Kuzhi Paniyaram,"Lentils, rice, spices",150,20,5,5,Vegetarian,Breakfast,3 pieces,25,South Indian,['breakfast']
Mysore Pak,"Gram flour, ghee, sugar",380,40,5,22,Vegetarian,Dessert,1 piece,50,South Indian,['dessert']
Obbattu Holige,"Wheat flour, lentils, jaggery, coconut",320,40,8,14,Vegetarian,Dessert,1 piece,40,South Indian,['dessert']
Palathalikalu,"Rice flour, milk, sugar",200,25,4,8,Vegetarian,Dessert,1/2 cup,30,South Indian,['dessert']
Poornalu,"Lentils, jaggery, rice flour",250,35,6,10,Vegetarian,Snack,2 pieces,30,South Indian,['snacks']
Pongal,"Rice, lentils, ghee, pepper, cashews",280,35,7,12,Vegetarian,Breakfast,1 cup,35,South Indian,['breakfast']
Pootharekulu,"Rice flour, sugar, ghee",180,25,2,8,Vegetarian,Dessert,1 piece,40,South Indian,['dessert']
Qubani ka Meetha,"Apricots, sugar, almonds",220,30,3,10,Vegetarian,Dessert,1/2 cup,40,South Indian,['dessert']
Sheer Korma,"Vermicelli, milk, sugar, nuts, dates",300,35,8,14,Vegetarian,Dessert,1 cup,40,South Indian,['dessert']
Unni Appam,"Rice flour, banana, jaggery, coconut",150,20,2,7,Vegetarian,Snack,2 pieces,30,South Indian,['snacks']
Kajjikaya,"Wheat flour, coconut, jaggery",240,30,4,12,Vegetarian,Snack,1 piece,30,South Indian,['snacks']
Anarsa,"Rice flour, jaggery, poppy seeds",230,30,3,11,Vegetarian,Snack,1 piece,30,Other,['snacks']
Basundi,"Milk, sugar, cardamom, nuts",250,30,7,10,Vegetarian,Dessert,1 cup,35,Other,['dessert']
Dhondas,"Cucumber, semolina, jaggery, coconut",180,25,3,7,Vegetarian,Snack,1 slice,30,South Indian,['snacks']
Doodhpak,"Milk, rice, sugar, nuts",220,30,6,8,Vegetarian,Dessert,1 cup,30,Other,['dessert']
Mahim Halwa,"Semolina, sugar, ghee",300,40,4,14,Vegetarian,Dessert,1 piece,40,Other,['dessert']
Modak,"Rice flour, coconut, jaggery",160,20,3,8,Vegetarian,Snack,2 pieces,30,Other,['snacks']
Shankarpali,"Wheat flour, sugar, ghee",200,25,3,10,Vegetarian,Snack,1/2 cup,30,Other,['snacks']
Shrikhand,"Yogurt, sugar, cardamom",200,25,8,8,Vegetarian,Dessert,1 cup,35,Other,['dessert']
Sutar Feni,"Wheat flour, sugar, ghee",250,35,3,12,Vegetarian,Breakfast,1/2 cup,35,Other,['breakfast']
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",280,15,20,12,Non-Vegetarian,Lunch,1 bowl,75,Other,['lunch']
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",350,10,25,22,Non-Vegetarian,Dinner,1 bowl,90,Other,['dinner']
Chak Hao Kheer,"Black Rice, milk, sugar, cardamom",220,35,5,6,Vegetarian,Dessert,1 cup,60,Other,['dessert']
Galho,"Rice, axone, salt, water, chillies, pork",300,40,15,10,Non-Vegetarian,Lunch,1 bowl,80,Other,['lunch']
Aloo Gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",180,25,5,6,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Aloo Tikki,"Potato, spices, breadcrumbs, oil",150,20,3,7,Vegetarian,Snack,2 pieces,25,North Indian,['snacks']
Aloo Matar,"Potato, peas, tomato, spices",200,30,5,7,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Aloo Methi,"Potato, fenugreek leaves, spices",160,22,4,6,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Aloo Shimla Mirch,"Potato, capsicum, spices",170,24,4,6,Vegetarian,Lunch,1 bowl,32,North Indian,['lunch']
Bhindi Masala,"Okra, onion, tomato, spices",140,15,4,7,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Biryani,"Rice, meat/vegetables, spices",450,50,20,18,Non-Vegetarian,Dinner,1 plate,120,North Indian,['dinner']
Chana Masala,"Chickpeas, tomato, onion, spices",320,40,15,8,Vegetarian,Lunch,1 bowl,40,North Indian,['lunch']
Chapati,"Wheat flour, water",100,20,3,1,Vegetarian,Lunch/Dinner,1 piece,10,North Indian,"['lunch', 'dinner']"
Chicken Razala,"Chicken, yogurt, poppy seeds, spices",420,15,30,25,Non-Vegetarian,Dinner,1 bowl,100,Other,['dinner']
Chicken Tikka Masala,"Chicken tikka, tomato sauce, cream, spices",480,25,30,30,Non-Vegetarian,Dinner,1 bowl,95,North Indian,['dinner']
Chicken Tikka,"Chicken, yogurt, spices",250,5,30,12,Non-Vegetarian,Snack,2 pieces,80,North Indian,['snacks']
Daal Baati Churma,"Lentils, wheat bread, sweet crumble",600,70,20,25,Vegetarian,Lunch,1 plate,60,North Indian,['lunch']
Daal Puri,"Wheat flour, lentils, spices",250,30,8,10,Vegetarian,Breakfast,2 puris,30,Other,['breakfast']
Dal Tadka,"Yellow lentils, onion, tomato, spices",220,35,10,5,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Dum Aloo,"Potatoes, yogurt, spices, cream",300,20,10,20,Vegetarian,Lunch,1 bowl,50,Other,['lunch']
Fara,"Rice flour, lentils, spices",220,30,7,6,Vegetarian,Snack,4 pieces,30,North Indian,['snacks']
Kachori,"Refined flour, lentils, spices",320,40,6,16,Vegetarian,Breakfast,1 piece,35,North Indian,['breakfast']
Kadai Paneer,"Paneer, bell peppers, onion, tomato, spices",350,15,20,22,Vegetarian,Dinner,1 bowl,60,North Indian,['dinner']
Kadhi Pakoda,"Yogurt, gram flour, spices, fritters",280,25,8,15,Vegetarian,Lunch,1 bowl,40,North Indian,['lunch']
Karela Bharta,"Bitter gourd, onion, tomato, spices",150,15,5,8,Vegetarian,Lunch,1 bowl,25,North Indian,['lunch']
Kulfi Falooda,"Milk, sugar, noodles, nuts",350,40,8,18,Vegetarian,Dessert,1 glass,60,North Indian,['dessert']
Shahi paneer,"Paneer, tomato, cream, cashews, spices",400,20,15,30,Vegetarian,Dinner,1 bowl,70,North Indian,['dinner']
Vegetable jalfrezi,"Mixed vegetables, onion, tomato, spices",220,25,7,10,Vegetarian,Lunch,1 bowl,40,North Indian,['lunch']
Tandoori Fish Tikka,"Fish, yogurt, spices",200,5,25,8,Non-Vegetarian,Snack,4 pieces,90,North Indian,['snacks']
Attu,"Rice flour, lentils, spices",180,25,6,5,Vegetarian,Breakfast,1 dosa,25,South Indian,['breakfast']
Avial,"Mixed vegetables, coconut, yogurt, curry leaves",200,20,8,10,Vegetarian,Lunch,1 bowl,30,South Indian,['lunch']
Bisi bele bath,"Rice, lentils, vegetables, spices",300,35,10,12,Vegetarian,Lunch,1 bowl,40,South Indian,['lunch']
Currivepillai sadam,"Rice, curry leaves, lentils, spices",250,35,7,8,Vegetarian,Lunch,1 plate,35,South Indian,['lunch']
Dosa,"Rice flour, lentils",150,20,5,5,Vegetarian,Breakfast,1 dosa,20,South Indian,['breakfast']
Idiappam,"Rice flour, coconut milk",180,25,3,7,Vegetarian,Breakfast,2 pieces,25,South Indian,['breakfast']
Idli,"Rice flour, lentils",100,15,4,2,Vegetarian,Breakfast,2 idlis,15,South Indian,['breakfast']
Kanji,"Rice, water, spices",80,15,2,1,Vegetarian,Lunch,1 bowl,20,South Indian,['lunch']
Kaara kozhambu,"Tamarind, vegetables, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,25,South Indian,['lunch']
Keerai kootu,"Spinach, lentils, coconut, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,20,South Indian,['lunch']
Keerai masiyal,"Spinach, lentils, spices",100,8,6,4,Vegetarian,Lunch,1 bowl,18,South Indian,['lunch']
Keerai sadam,"Rice, spinach, spices",220,30,6,8,Vegetarian,Lunch,1 plate,30,South Indian,['lunch']
Beef Fry,"Beef, onion, spices",350,10,25,22,Non-Vegetarian,Dinner,1 bowl,90,South Indian,['dinner']
Kootu,"Mixed vegetables, lentils, coconut, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,25,South Indian,['lunch']
Kos kootu,"Cabbage, lentils, coconut, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,20,South Indian,['lunch']
Kothamali sadam,"Rice, coriander, lentils, spices",250,35,7,8,Vegetarian,Lunch,1 plate,35,South Indian,['lunch']
Kuzhakkattai,"Rice flour, coconut, jaggery",160,20,3,8,Vegetarian,Snack,2 pieces,30,South Indian,['snacks']
Kuzhambu,"Tamarind, vegetables, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,25,South Indian,['lunch']
Masala Dosa,"Rice flour, lentils, potato, spices",250,30,7,12,Vegetarian,Breakfast,1 dosa,30,South Indian,['breakfast']
Papadum,"Lentil flour, spices, oil",50,5,2,3,Vegetarian,Side Dish,1 piece,10,South Indian,['snacks']
Paravannam,"Rice, milk, sugar, jaggery",220,30,6,8,Vegetarian,Dessert,1 cup,30,South Indian,['dessert']
Payasam,"Milk, vermicelli, sugar, nuts",250,30,7,12,Vegetarian,Dessert,1 cup,35,South Indian,['dessert']
Paruppu sadam,"Rice, lentils, ghee",200,30,7,5,Vegetarian,Lunch,1 plate,30,South Indian,['lunch']
Pesarattu,"Green gram, rice flour, spices",180,25,6,5,Vegetarian,Breakfast,1 dosa,25,South Indian,['breakfast']
Poriyal,"Vegetables, coconut, spices",80,7,4,4,Vegetarian,Side Dish,1/2 cup,15,South Indian,['snacks']
Puli sadam,"Rice, tamarind, spices",220,30,6,8,Vegetarian,Lunch,1 plate,30,South Indian,['lunch']
Rasam,"Tamarind, tomato, spices",50,5,2,2,Vegetarian,Lunch,1 bowl,10,South Indian,['lunch']
Puttu,"Rice flour, coconut",150,20,3,7,Vegetarian,Breakfast,2 pieces,25,South Indian,['breakfast']
Sambar,"Lentils, vegetables, tamarind, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,20,South Indian,['lunch']
Sandige,"Rice flour, spices",40,5,1,2,Vegetarian,Snack,2 pieces,10,South Indian,['snacks']
Sevai,"Rice noodles, coconut, spices",200,25,4,8,Vegetarian,Breakfast,1 cup,30,South Indian,['breakfast']
Thayir sadam,"Rice, yogurt, milk",150,20,5,5,Vegetarian,Lunch,1 plate,20,South Indian,['lunch']
Theeyal,"Mixed vegetables, roasted coconut, spices",220,20,8,12,Vegetarian,Lunch,1 bowl,35,South Indian,['lunch']
Uttapam,"Rice flour, lentils, vegetables, spices",200,25,7,8,Vegetarian,Breakfast,1 uttapam,30,South Indian,['breakfast']
Vada,"Lentils, spices",150,15,5,7,Vegetarian,Snack,2 pieces,25,South Indian,['snacks']
Chicken Varuval,"Chicken, onion, spices",300,10,25,18,Non-Vegetarian,Dinner,1 bowl,80,South Indian,['dinner']
Upma,"Semolina, vegetables, spices",200,30,6,5,Vegetarian,Breakfast,1 bowl,30,South Indian,['breakfast']
Amti,"Lentils, tamarind, spices",100,10,6,2,Vegetarian,Lunch,1 bowl,20,Other,['lunch']
Zunka,"Gram flour, onion, spices",120,15,5,3,Vegetarian,Lunch,1 bowl,20,Other,['lunch']
Kolim Jawla,"Shrimp, onion, spices",180,10,10,10,Non-Vegetarian,Lunch,1 bowl,40,Other,['lunch']
Saath,"Rice flour, spices",150,20,3,7,Vegetarian,Snack,1 piece,25,Other,['snacks']
Bajri no rotlo,Pearl millet flour,120,20,4,2,Vegetarian,Lunch,1 rotlo,15,Other,['lunch']
Coconut vadi,"Coconut, sugar",180,25,2,8,Vegetarian,Dessert,1 piece,30,Other,['dessert']
Bhakri,Jowar/Bajra/Rice flour,100,15,3,1,Vegetarian,Lunch/Dinner,1 bhakri,15,Other,"['lunch', 'dinner']"
Bombil fry,"Bombay Duck, spices",150,5,10,8,Non-Vegetarian,Snack,2 pieces,40,Other,['snacks']
Chakali,"Rice flour, lentils, spices",180,20,4,9,Vegetarian,Snack,4 pieces,30,Other,['snacks']
Chevdo,"Flattened rice, nuts, spices",200,25,4,10,Vegetarian,Snack,1/2 cup,35,Other,['snacks']
Chorafali,"Gram flour, spices",150,15,6,6,Vegetarian,Snack,1/2 cup,30,Other,['snacks']
Copra paak,"Coconut, sugar",200,30,2,8,Vegetarian,Dessert,1 piece,30,Other,['dessert']
Daal Dhokli,"Wheat flour, lentils, spices",250,30,8,10,Vegetarian,Lunch,1 bowl,35,Other,['lunch']
Kutchi dabeli,"Potato, spices, bread",220,25,5,10,Vegetarian,Snack,1 dabeli,30,Other,['snacks']
Dahi vada,"Lentil fritters, yogurt, spices",220,24,8,8,Vegetarian,Snack,2 pieces,25,North Indian,['snacks']
Dalithoy,"Lentils, coconut, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,20,South Indian,['lunch']
Dudhi halwa,"Bottle gourd, milk, sugar, ghee",200,30,4,8,Vegetarian,Dessert,1 bowl,30,Other,['dessert']
Gatta curry,"Gram flour, yogurt, spices",280,25,10,15,Vegetarian,Lunch,1 bowl,40,North Indian,['lunch']
Gud papdi,"Gram flour, ghee, sugar",300,35,5,16,Vegetarian,Dessert,1 piece,45,Other,['dessert']
Ghooghra,"Wheat flour, coconut, jaggery, spices",250,30,4,12,Vegetarian,Snack,1 piece,35,Other,['snacks']
Handwo,"Lentils, rice, vegetables, spices",220,30,7,6,Vegetarian,Breakfast,1 slice,30,Other,['breakfast']
Halvasan,"Wheat flour, milk, sugar, ghee",320,40,6,16,Vegetarian,Dessert,1 piece,50,Other,['dessert']
Jeera Aloo,"Potato, cumin seeds, spices",150,20,3,7,Vegetarian,Side Dish,1 bowl,25,North Indian,['snacks']
Kansar,"Wheat flour, ghee, jaggery",350,45,5,18,Vegetarian,Dessert,1 bowl,50,Other,['dessert']
Keri no ras,"Mango, sugar, milk",180,25,2,8,Vegetarian,Dessert,1 bowl,30,Other,['dessert']
Khakhra,"Wheat flour, spices",80,15,2,1,Vegetarian,Snack,1 piece,15,Other,['snacks']
Khandvi,"Gram flour, yogurt, spices",150,20,6,4,Vegetarian,Snack,4 pieces,30,Other,['snacks']
Kombdi vade,"Chicken, rice flour, spices",350,20,20,20,Non-Vegetarian,Lunch,1 plate,90,Other,['lunch']
Koshimbir,"Cucumber, lentils, coconut, coriander, lemon",120,10,6,6,Vegetarian,Side Dish,1/2 cup,25,Other,['snacks']
Methi na Gota,"Gram flour, fenugreek leaves, spices",180,20,6,8,Vegetarian,Snack,4 pieces,30,Other,['snacks']
Mohanthal,"Gram flour, sugar, ghee",320,40,6,16,Vegetarian,Dessert,1 piece,50,Other,['dessert']
Muthiya,"Gram flour, bottle gourd, spices",150,20,5,5,Vegetarian,Snack,4 pieces,25,Other,['snacks']
Patra,"Colocasia leaves, gram flour, spices",180,20,6,8,Vegetarian,Snack,4 pieces,30,Other,['snacks']
Pav Bhaji,"Potato, mixed vegetables, butter, pav",400,45,9,20,Vegetarian,Dinner,1 plate,40,Other,['dinner']
Puri Bhaji,"Wheat flour, potato, spices",330,40,5,15,Vegetarian,Breakfast,4 puris + sabzi,35,North Indian,['breakfast']
Sabudana Khichadi,"Sago, potato, peanuts, spices",250,30,4,12,Vegetarian,Snack,1 bowl,30,Other,['snacks']
Sev khamani,"Gram flour, sev, spices",200,25,8,8,Vegetarian,Snack,1 bowl,35,Other,['snacks']
Sev tameta,"Tomato, sev, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,25,Other,['lunch']
Namakpara,"Wheat flour, semolina, spices, oil",200,25,4,10,Vegetarian,Snack,1/2 cup,25,North Indian,['snacks']
Sukhdi,"Wheat flour, ghee, jaggery",300,40,5,14,Vegetarian,Dessert,1 piece,40,Other,['dessert']
Surnoli,"Rice flour, coconut milk, jaggery",180,25,3,7,Vegetarian,Breakfast,1 piece,30,South Indian,['breakfast']
Thalipeeth,"Mixed flour, onion, spices",220,30,7,6,Vegetarian,Breakfast,1 thalipeeth,30,Other,['breakfast']
Undhiyu,"Mixed vegetables, spices, herbs",250,30,8,10,Vegetarian,Lunch,1 bowl,40,Other,['lunch']
Veg Kolhapuri,"Mixed vegetables, Kolhapuri masala",200,25,7,8,Vegetarian,Lunch,1 bowl,35,Other,['lunch']
Lilva Kachori,"Pigeon peas, spices, refined flour",220,25,6,10,Vegetarian,Snack,1 piece,30,Other,['snacks']
Mag Dhokli,"Wheat flour, lentils, spices",200,25,7,5,Vegetarian,Lunch,1 bowl,30,Other,['lunch']
Khichu,"Rice flour, spices",150,20,3,7,Vegetarian,Snack,1 bowl,25,Other,['snacks']
Thepla,"Wheat flour, fenugreek leaves, spices",160,20,4,7,Vegetarian,Breakfast,1 thepla,25,Other,['breakfast']
Farsi Puri,"Refined flour, spices",180,20,3,9,Vegetarian,Snack,2 puris,30,Other,['snacks']
Khaman,"Gram flour, spices",150,22,6,4,Vegetarian,Breakfast,2 pieces,20,Other,['breakfast']
Turiya Patra,"Ridge gourd, gram flour, spices",160,20,5,6,Vegetarian,Lunch,1 bowl,30,Other,['lunch']
Vatana sabji,"Green peas, spices",120,15,5,3,Vegetarian,Lunch,1 bowl,20,Other,['lunch']
Churma Ladoo,"Wheat flour, ghee, jaggery",300,40,5,14,Vegetarian,Dessert,1 piece,45,North Indian,['dessert']
Cheera Doi,"Flattened rice, yogurt, sugar/jaggery",200,30,6,5,Vegetarian,Breakfast,1 bowl,30,Other,['breakfast']
Gheela Pitha,"Rice flour, jaggery",180,25,3,7,Vegetarian,Snack,2 pieces,25,Other,['snacks']
Khar,"Vegetables, banana peel ash",100,10,2,2,Vegetarian,Lunch,1 bowl,20,Other,['lunch']
Kumol Sawul,Rice,80,15,2,1,Vegetarian,Lunch,1 plate,15,Other,['lunch']
Luchi,"Refined flour, oil",120,15,2,5,Vegetarian,Breakfast,2 luchis,20,Other,['breakfast']
Alu Pitika,"Potato, onion, coriander, mustard oil",100,15,2,3,Vegetarian,Side Dish,1/2 cup,18,Other,['snacks']
Masor tenga,"Fish, lemon, tomato, spices",150,10,15,5,Non-Vegetarian,Lunch,1 bowl,35,Other,['lunch']
Bengena Pitika,"Eggplant, onion, coriander, mustard oil",90,8,1,6,Vegetarian,Side Dish,1/2 cup,15,Other,['snacks']
Black rice,"Black rice, water",160,34,4,1,Vegetarian,Lunch,1 cup cooked,40,Other,['lunch']
Bora Sawul,Sticky rice,170,37,3,1,Vegetarian,Breakfast,1 cup,35,Other,['breakfast']
Chingri malai curry,"Prawns, coconut milk, spices",350,15,20,22,Non-Vegetarian,Dinner,1 bowl,90,Other,['dinner']
Goja,"Wheat flour, jaggery",200,30,4,7,Vegetarian,Snack,2 pieces,30,Other,['snacks']
Hando Guri,"Rice flour, jaggery",180,25,3,7,Vegetarian,Snack,2 pieces,25,Other,['snacks']
Haq Maas,"Mutton, spices",400,10,30,28,Non-Vegetarian,Dinner,1 bowl,120,Other,['dinner']
Chingri Bhape,"Prawns, mustard paste, coconut, spices",280,10,20,18,Non-Vegetarian,Lunch,1 bowl,80,Other,['lunch']
Kabiraji,"Chicken/fish, egg, breadcrumbs",300,15,18,18,Non-Vegetarian,Snack,1 piece,70,Other,['snacks']
Khorisa,Fermented bamboo shoot,50,8,2,1,Vegetarian,Side Dish,1/4 cup,15,Other,['snacks']
Koldil Chicken,"Chicken, banana flower, spices",250,10,20,15,Non-Vegetarian,Lunch,1 bowl,75,Other,['lunch']
Konir Dom,"Eggs, potatoes, spices",200,10,12,12,Non-Vegetarian,Lunch,"2 eggs, 1 potato",40,Other,['lunch']
Koldil Duck,"Duck, banana flower, spices",300,10,25,20,Non-Vegetarian,Lunch,1 bowl,90,Other,['lunch']
Masor Koni,"Fish, eggs, spices",220,8,18,12,Non-Vegetarian,Lunch,"1 fish, 1 egg",50,Other,['lunch']
Mishti Chholar Dal,"Chana dal, coconut, sugar, spices",220,30,8,6,Vegetarian,Lunch,1 bowl,35,Other,['lunch']
Pakhala,"Rice, water, yogurt",150,25,3,2,Vegetarian,Lunch,1 bowl,20,Other,['lunch']
Pani Pitha,"Rice flour, jaggery, oil",150,20,2,7,Vegetarian,Snack,2 pieces,25,Other,['snacks']
Payokh,"Rice, milk, sugar, cardamom",200,30,5,7,Vegetarian,Dessert,1 bowl,30,Other,['dessert']
Prawn malai curry,"Prawns, coconut milk, spices",350,15,20,22,Non-Vegetarian,Dinner,1 bowl,90,Other,['dinner']
Red Rice,"Red rice, water",210,42,5,1,Vegetarian,Lunch,1 cup cooked,30,South Indian,['lunch']
Shukto,"Mixed vegetables, mustard paste, spices",180,15,5,10,Vegetarian,Lunch,1 bowl,30,Other,['lunch']
Til Pitha,"Rice flour, sesame seeds, jaggery",200,25,4,10,Vegetarian,Breakfast,2 pieces,30,Other,['breakfast']
Bebinca,"Flour, coconut milk, sugar, eggs, ghee",350,40,5,20,Vegetarian,Dessert,1 slice,50,South Indian,['dessert']
Shufta,"Dried fruits, nuts, spices, ghee",300,35,7,15,Vegetarian,Dessert,1 bowl,60,Other,['dessert']
Mawa Bati,"Mawa, flour, sugar, nuts, cardamom",250,30,5,12,Vegetarian,Dessert,1 piece,40,North Indian,['dessert']
Pinaca,"Jaggery, nuts, grated coconut, rice powder and cardamom",220,30,6,8,Vegetarian,Dessert,1 piece,30,South Indian,['dessert']
Paneer Butter Masala with Jeera Rice,"Paneer, Tomato, Cream, Spices, Rice, Cumin, Ghee",550,50,20,30,Vegetarian,Dinner,1 bowl + 1 plate,90,North Indian,['dinner']
Rajma Chawal,"Kidney Beans, Rice, Tomato, Onion, Garlic, Spices",385,60,12,8,Vegetarian,Lunch,1 medium plate,40,North Indian,['lunch']
Hyderabadi Biryani,"Rice, meat/vegetables, spices",450,50,20,18,Non-Vegetarian,Dinner,1 plate,120,South Indian,['dinner']
Masoor Dal Tadka with Basmati Rice,"Red Lentils, Onion, Tomato, Spices, Rice",400,50,15,10,Vegetarian,Lunch,1 bowl + 1 plate,50,North Indian,['lunch']
Aloo Paratha with Curd,"Wheat Flour, Potato, Spices, Butter, Yogurt",350,40,8,15,Vegetarian,Breakfast,1 paratha + 1 bowl,40,North Indian,['breakfast']
Vegetable Pulao with Raita,"Rice, Vegetables, Spices, Yogurt",350,45,8,12,Vegetarian,Lunch,1 plate + 1 bowl,40,North Indian,['lunch']
Egg Curry,"Eggs, Onion, Tomato, Spices",320,10,20,20,Non-Vegetarian,Lunch,1 bowl,50,North Indian,['lunch']
Paneer Kathi Roll,"Paneer, Wheat Flour, Vegetables, Spices",300,30,12,14,Vegetarian,Snack,1 roll,40,North Indian,['snacks']
Paneer Paratha,"Wheat Flour, Paneer, Spices, Butter",320,38,10,14,Vegetarian,Breakfast,1 paratha,40,North Indian,['breakfast']
Khichdi,"Rice, Lentils, Vegetables, Spices",250,35,10,5,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Bhindi Do Pyaza,"Okra, Onion, Spices",160,20,5,6,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Masala Bhindi,"Okra, Spices",140,15,4,7,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Chana Kulcha,"Chickpeas, Refined Flour, Spices",400,50,15,15,Vegetarian,Lunch,1 plate,50,Other,['lunch']
Shahi Egg Curry,"Eggs, Onion, Tomato, Spices, Cream",350,12,22,22,Non-Vegetarian,Dinner,1 bowl,60,North Indian,['dinner']
Dal Makhani,"Black Lentils, Cream, Butter, Spices",350,25,15,20,Vegetarian,Dinner,1 bowl,60,Other,['dinner']
Punjabi Dal Tadka,"Yellow Lentils, Onion, Tomato, Spices",220,35,10,5,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Kashmiri Rajma,"Kidney Beans, Spices",300,40,15,8,Vegetarian,Lunch,1 bowl,45,Other,['lunch']
Paneer Tamatar Ki Subzi,"Paneer, Tomato, Spices",320,15,18,20,Vegetarian,Lunch,1 bowl,50,North Indian,['lunch']
Kashmiri Paneer,"Paneer, Spices",350,15,20,22,Vegetarian,Dinner,1 bowl,60,Other,['dinner']
Paneer Pulao,"Rice, Paneer, Vegetables, Spices",300,40,10,10,Vegetarian,Lunch,1 plate,40,North Indian,['lunch']
Tawa Pulao,"Rice, Vegetables, Spices",280,40,6,10,Vegetarian,Lunch,1 plate,35,Other,['lunch']
Aloo Fry,"Potato, Spices",150,20,3,7,Vegetarian,Side Dish,1 bowl,25,South Indian,['snacks']
Raw Banana Methi Subzi,"Raw Banana, Fenugreek Leaves, Spices",160,22,4,6,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
French Beans and Carrot Thoran,"French Beans, Carrot, Coconut, Mustard Seeds, Curry Leaves",150,15,5,8,Vegetarian,Lunch,1 cup,30,South Indian,['lunch']
Pau Bhaji,"Potato, Mixed Vegetables, Butter, Pav",420,45,9,20,Vegetarian,Dinner,1 plate,40,Other,['dinner']
Paneer Fishcakes with Chutney,"Paneer, Potatoes, Spices, Breadcrumbs, Mint Chutney",280,20,12,16,Vegetarian,Snack,2 fishcakes,50,North Indian,['snacks']
Indian Spiced Pizza,"Pizza Base, Tomato Sauce, Paneer, Vegetables, Spices",350,35,15,15,Vegetarian,Dinner,1 slice,60,North Indian,['dinner']
Cardamom Chicken,"Chicken, Cardamom, Yogurt, Spices",320,10,25,20,Non-Vegetarian,Dinner,1 bowl,80,North Indian,['dinner']
Gullfrazie Chicken and Cashew Nut Curry,"Chicken, Cashew Nuts, Onion, Tomato, Spices",400,15,30,25,Non-Vegetarian,Dinner,1 bowl,90,North Indian,['dinner']
Spinach and Paneer Koftas,"Spinach, Paneer, Potato, Spices, Cream",300,20,10,20,Vegetarian,Dinner,4 koftas,60,North Indian,['dinner']
Achaari Salmon Wraps,"Salmon, Pickling Spices, Yogurt, Wheat Tortilla",350,30,20,18,Non-Vegetarian,Lunch,1 wrap,70,North Indian,['lunch']
Basmati Rice Pilaf with Apricots,"Basmati Rice, Apricots, Spices, Nuts",250,40,5,8,Vegetarian,Lunch,1 plate,40,North Indian,['lunch']
Slow Cooker Chicken Curry,"Chicken, Onion, Tomato, Spices",300,10,25,18,Non-Vegetarian,Dinner,1 bowl,70,North Indian,['dinner']
Paneer Pakoras,"Paneer, Gram Flour, Spices, Oil",250,20,12,15,Vegetarian,Snack,4 pieces,40,North Indian,['snacks']
Sprouts Salad,"Mixed Sprouts, Onion, Tomato, Cucumber, Lemon Juice",150,20,8,4,Vegetarian,Snack,1 bowl,30,North Indian,['snacks']
